cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
283,Chittagong-6,BNP,69.62,47.54,13.16,69.62,0.0,42.0,30.44,32.68,25.3,18.11,rural
284,Chittagong-7,BNP,58.37,54.84,22.99,58.37,0.0,41.0,32.6,34.81,18.25,13.33,rural
285,Chittagong-8,BNP,60.49,45.68,20.74,60.49,1.16,41.0,28.26,30.61,13.96,12.3,city
286,Chittagong-9,BNP,64.45,40.82,31.11,64.45,0.0,43.0,25.04,27.23,24.19,22.28,city
287,Chittagong-10,BNP,59.18,42.18,36.42,59.18,0.0,42.0,25.58,27.92,8.49,7.68,city
288,Chittagong-11,BNP,57.99,40.53,37.13,57.99,0.0,41.0,23.99,26.48,10.27,8.78,city
289,Chittagong-12,BNP,71.83,53.41,11.22,71.83,0.0,41.0,33.69,35.88,22.88,20.73,rural
290,Chittagong-13,BNP,59.31,53.96,16.09,59.31,0.0,40.0,35.13,37.43,11.59,11.1,rural
291,Chittagong-14,BNP,42.57,57.75,0.0,42.57,0.0,40.0,35.89,37.95,15.15,13.03,rural
292,Chittagong-15,Jamaat,56.5,61.79,56.5,42.55,0.0,40.0,36.68,38.75,8.98,7.65,rural
293,Chittagong-16,Jamaat,38.71,57.45,38.71,35.39,0.0,39.0,38.7,41.02,11.12,10.25,rural
294,Cox's Bazar-1,BNP,62.87,65.84,35.85,62.87,0.0,38.0,40.5,42.33,4.82,4.19,rural
295,Cox's Bazar-2,BNP,55.61,58.43,40.07,55.61,0.0,39.0,39.37,42.02,5.96,5.4,rural
296,Cox's Bazar-3,BNP,52.55,64.2,45.42,52.55,0.0,39.0,37.46,39.49,8.14,5.84,rural
297,Cox's Bazar-4,BNP,49.65,66.64,48.47,49.65,0.0,39.0,39.7,41.72,5.07,1.58,rural
298,Khagrachhari,BNP,45.45,59.99,17.22,45.45,0.0,41.0,33.04,34.98,54.08,6.58,rural
299,Rangamati,BNP,76.69,51.72,0.0,76.69,0.0,40.0,36.26,38.04,65.1,8.09,rural
300,Bandarban,BNP,81.25,55.15,0.0,81.25,14.66,39.0,37.68,39.24,50.87,4.35,rural
